"ncbi_taxonomy_id","organism"
11103,"Hepatitus C Virus"
11676,"Human Immunodeficiency Virus 1"
11709,"Human Immunodeficiency Virus 2"
13616,"Monodelphis domestica"
15368,"Brachypodium distachyon"
28377,"Anolis carolinensis"
31033,"Takifugu rubripes"
31234,"Caenorhabditis remanei"
36329,"Plasmodium falciparum 3D7"
39947,"Oryza sativa"
45351,"Nematostella vectensis"
57667,"Simian-Human Immunodeficiency Virus"
59689,"Arabidopsis lyrata"
59729,"Taeniopygia guttata"
61853,"Nomascus leucogenys"
88036,"Selaginella moellendorffii"
121225,"Pediculus humanus"
224308,"Bacillus subtilis 168"
227321,"Aspergillus nidulans"
237561,"Candida albicans SC5314"
246197,"Myxococcus xanthus"
272634,"Mycoplasma pneumoniae M129"
352472,"Dictyostelium discoideum AX4"
400682,"Amphimedon queenslandica"
407148,"Campylobacter jejuni 81116"
435895,"Human Herpesvirus 8"
511145,"Escherichia coli"
525381,"Streptococcus pneumoniae TCH8431/19A"
559292,"Saccharomyces cerevisiae"
